2026-02-01 00:00:05 | ERROR | search | Unhandled exception type=ValueError message=unexpected None (env=prod, region=ap-southeast-1, ip=17.27.69.161, request_id=tyjcj90h9zfswx73, trace_id=jdsmnw6y8xds3ot3vizkp9cc, ua="curl/8.4.0")
2026-02-01 00:02:31 | ERROR | worker | DB timeout while fetching user profile user_id=4243 (env=prod, region=eu-west-1, ip=77.158.97.77, request_id=27q33t5b45nvvfev, trace_id=2nu2jjkequzkoo0vnhpikls0, ua="PostmanRuntime/7.36.0")
2026-02-01 00:02:47 | ERROR | profile | Payment gateway returned 504 provider=adyen (env=staging, region=ap-southeast-1, ip=217.108.215.24, request_id=uw7jo8xb27nihkfo, trace_id=p700gk1hme5uu4661e63qmvs, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:02:57 | ERROR | orders | Service dependency not responding dependency=stripe (env=staging, region=ap-southeast-1, ip=216.189.229.90, request_id=ux2eef76nn081bp5, trace_id=pnijdledaypyp2mwwc1dyfim, ua="curl/8.4.0")
2026-02-01 00:02:58 | ERROR | api | DB timeout while fetching user profile user_id=5204 (env=prod, region=ap-southeast-1, ip=165.96.135.191, request_id=x3fn8kaid1m0uvly, trace_id=ip8ys1s0xb79hrue26107la0, ua="curl/8.4.0")
2026-02-01 00:03:28 | ERROR | orders | Service dependency not responding dependency=email-smtp (env=prod, region=eu-west-1, ip=12.120.200.86, request_id=sfnn498fsl9v0w5n, trace_id=s50f91xzi68off6cocm3vvqr, ua="curl/8.4.0")
2026-02-01 00:04:47 | ERROR | cache | Upstream service unavailable dependency=postgres (env=dev, region=me-south-1, ip=141.202.43.79, request_id=xitgi8ho7tuyal8i, trace_id=7ytrz0k5shlriwcyj0bzjw5r, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:05:06 | ERROR | search | DB timeout while fetching user profile user_id=8496 (env=prod, region=us-east-1, ip=207.253.37.82, request_id=nadmkvkcrtozd2cj, trace_id=5gfqfx9uj79shibwy75wr9kq, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:05:08 | ERROR | billing | Data validation error: missing required field field=user_id (env=prod, region=me-south-1, ip=54.168.21.224, request_id=9obghneuydqpdqw8, trace_id=65l59sn6qzyizkqkf09vp7on, ua="curl/8.4.0")
2026-02-01 00:05:34 | ERROR | storage | Service dependency not responding dependency=kms (env=staging, region=ap-southeast-1, ip=99.199.97.248, request_id=c9nxmpjr7gc2710e, trace_id=nefnk9t2iustap1e1nwszxrl, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:05:45 | ERROR | cdn | Upstream service unavailable dependency=payments-api (env=staging, region=us-east-1, ip=1.246.232.119, request_id=q7aq1w3wn86qffc4, trace_id=1wor4gelonx1onqifio3mf89, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:05:46 | ERROR | kms | Connection refused dependency=stripe (env=staging, region=us-east-1, ip=132.86.41.250, request_id=e1a7an5by8jrtnln, trace_id=lqpqyhxudn27dpa405108pwc, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:05:55 | ERROR | db | Service dependency not responding dependency=redis (env=dev, region=ap-southeast-1, ip=119.54.3.29, request_id=ma1g2rxtdrg7mh6w, trace_id=0kaozh0r2nokmdc65ctgj3rn, ua="curl/8.4.0")
2026-02-01 00:06:01 | ERROR | inventory | Write operation failed: storage quota exceeded bucket=staging-uploads (env=prod, region=us-east-1, ip=129.170.150.177, request_id=nllpzsr4xy31siby, trace_id=al79m480y5ch0sfkawv76083, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:06:12 | ERROR | storage | Unhandled exception type=ValueError message=invalid format (env=prod, region=me-south-1, ip=242.157.208.76, request_id=9op7x31jrbkc99nb, trace_id=l7j64amk5y55id99r4cxfqbv, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:06:22 | ERROR | api | DB timeout while fetching user profile user_id=4189 (env=staging, region=ap-southeast-1, ip=182.177.213.223, request_id=gmw1vbl44qm6mve8, trace_id=2aedl5cbcrlg9d8zaistc71s, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:06:35 | ERROR | cdn | Authentication failed due to invalid token user_id=4633 (env=dev, region=us-east-1, ip=129.109.136.13, request_id=4cp35961y6t6r8t7, trace_id=7yjjenvhsc0tj7hwmi6faykc, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:06:41 | ERROR | cache | Service dependency not responding dependency=postgres (env=prod, region=me-south-1, ip=15.250.232.46, request_id=pgvfr4altct26zmo, trace_id=25kmsczufqlsxrco6g6yer44, ua="PostmanRuntime/7.36.0")
2026-02-01 00:06:53 | ERROR | analytics | Payment gateway returned 504 provider=stripe (env=prod, region=ap-southeast-1, ip=52.18.192.78, request_id=5g66c0rq99flz6lj, trace_id=3yfce5shm1dx4hss59ikhh67, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:07:25 | ERROR | scheduler | Upstream service unavailable dependency=kms (env=dev, region=ap-southeast-1, ip=144.173.36.26, request_id=uui3bej8gr0ljv19, trace_id=9hldq0u2nqnmidgu6hvpl47s, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:07:30 | ERROR | kms | Worker crashed: out of memory rss_mb=3297 (env=prod, region=me-south-1, ip=217.101.203.216, request_id=d62qjw8cpyauxbux, trace_id=et9z1fgcijwa71zbq7slw1bn, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:07:33 | ERROR | payments | Authentication failed due to invalid token user_id=1946 (env=prod, region=us-east-1, ip=200.172.175.17, request_id=vfc0nezzb1fj5zf3, trace_id=mf8mz15xuxb9ugpvucuesaei, ua="PostmanRuntime/7.36.0")
2026-02-01 00:08:04 | ERROR | worker | Authentication failed due to invalid token user_id=4220 (env=prod, region=me-south-1, ip=156.37.197.16, request_id=f5tln2lqndrbvjps, trace_id=jwy689fuzbrc0i9z1p7jad1z, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:08:05 | ERROR | profile | Write operation failed: storage quota exceeded bucket=analytics-exports (env=prod, region=eu-west-1, ip=163.222.50.56, request_id=rxtyl09iyje771a6, trace_id=tbmykpcgi3ytjetenv9abh6l, ua="PostmanRuntime/7.36.0")
2026-02-01 00:08:13 | ERROR | frontend | DB timeout while fetching user profile user_id=3264 (env=prod, region=us-east-1, ip=185.104.62.186, request_id=yucjrivsiqfw5l8m, trace_id=jg7q8x0vpyetctcbfm2vtxqy, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:08:14 | ERROR | email | Worker crashed: out of memory rss_mb=1926 (env=dev, region=us-east-1, ip=215.34.251.60, request_id=ndkf81pdhknidyst, trace_id=rjl4rv8txa6yqh0zslap11s5, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:08:19 | ERROR | orders | Write operation failed: storage quota exceeded bucket=staging-uploads (env=prod, region=us-east-1, ip=149.200.93.253, request_id=gpdfu1wrtpkoubtj, trace_id=b7b5fg3j8qh36xnl7d4sizop, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:08:21 | ERROR | frontend | Data validation error: missing required field field=token (env=prod, region=ap-southeast-1, ip=172.142.231.78, request_id=yb4henrct0lpu1vw, trace_id=64pm3qqyqwufvu4jfsr6q9i4, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:08:23 | ERROR | api | Upstream service unavailable dependency=postgres (env=prod, region=eu-west-1, ip=175.192.113.103, request_id=z5xr7i0sqe0a0pgf, trace_id=aa96nu3k50sdr4274nbxfcra, ua="PostmanRuntime/7.36.0")
2026-02-01 00:08:27 | ERROR | api | DB timeout while fetching user profile user_id=7104 (env=prod, region=eu-west-1, ip=76.136.111.177, request_id=bvunubztdxu1nsk4, trace_id=von71xhkz3w6efy4lgn42khx, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:08:28 | ERROR | gateway | Upstream service unavailable dependency=kms (env=staging, region=ap-southeast-1, ip=43.33.148.227, request_id=72n9l76tpno13unf, trace_id=881yd9i0c8jt30n3rj9nj1oj, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:08:29 | ERROR | profile | Connection refused dependency=cdn-edge (env=staging, region=eu-west-1, ip=191.228.202.137, request_id=6zb9wflzkptqa4tq, trace_id=d0zp3brc100an072lnlww7co, ua="curl/8.4.0")
2026-02-01 00:08:34 | ERROR | search | Connection refused dependency=cdn-edge (env=prod, region=me-south-1, ip=103.33.74.243, request_id=tlia9iqz5arajdtx, trace_id=tvupaycfm7sy2u502gdpl5g2, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:08:36 | ERROR | scheduler | Authentication failed due to invalid token user_id=6591 (env=prod, region=ap-southeast-1, ip=145.136.206.153, request_id=o32t5dfxwdqw6nds, trace_id=emsy4ms7ce7sjl9wp9bru5ne, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:08:40 | ERROR | frontend | Authentication failed due to invalid token user_id=1030 (env=staging, region=eu-west-1, ip=249.37.206.74, request_id=4razz8g0wh8bxtui, trace_id=v3ecztexr81kzgv1fr1qbgln, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:08:47 | ERROR | frontend | Service dependency not responding dependency=orders-api (env=dev, region=us-east-1, ip=191.116.245.170, request_id=oggpv44jsdpzfxyz, trace_id=63n47zayradkunaqspzngahr, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:09:07 | ERROR | db | DB timeout while fetching user profile user_id=8206 (env=prod, region=eu-west-1, ip=100.169.222.98, request_id=chug2apx2mt7ztwu, trace_id=28le72orxbd6ru9le3r6nxoy, ua="curl/8.4.0")
2026-02-01 00:09:26 | ERROR | inventory | Write operation failed: storage quota exceeded bucket=analytics-exports (env=prod, region=us-east-1, ip=227.24.106.156, request_id=avd26gwxhwmb6aoi, trace_id=lt85hevd9l9orect0vcstqgc, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:09:34 | ERROR | cdn | Unhandled exception type=MemoryError message=permission denied (env=prod, region=us-east-1, ip=187.58.191.165, request_id=knjv9u554phz7gqt, trace_id=eyumxd7blqicpg7lpedjcsjm, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:09:37 | ERROR | worker | Unhandled exception type=ValueError message=index out of range (env=prod, region=me-south-1, ip=136.93.170.138, request_id=h4263dzbqsmls9nc, trace_id=5jww83yu3je2werbeorwjfvx, ua="PostmanRuntime/7.36.0")
2026-02-01 00:10:06 | ERROR | gateway | Unhandled exception type=IOError message=null value (env=staging, region=ap-southeast-1, ip=1.137.225.76, request_id=4glzjlxy2o5yoaic, trace_id=qxqygl8cotujvbno3xlvo254, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:10:19 | ERROR | gateway | Data validation error: missing required field field=currency (env=prod, region=me-south-1, ip=74.110.53.33, request_id=q9jqyibl8slgzhru, trace_id=5z9a8euatgmffc9529fvzw3m, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:10:29 | ERROR | cache | Service dependency not responding dependency=redis (env=dev, region=me-south-1, ip=66.120.48.50, request_id=pksd70nh9ldc5dev, trace_id=8xyt5ozrm6w2ud5tqc5r0t1u, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:10:30 | ERROR | billing | Unhandled exception type=IOError message=index out of range (env=prod, region=eu-west-1, ip=44.25.149.220, request_id=xw9s6bbs6fscnro3, trace_id=16l8wi0qebnihz59cbde68je, ua="curl/8.4.0")
2026-02-01 00:10:51 | ERROR | orders | Unhandled exception type=IOError message=invalid format (env=prod, region=eu-west-1, ip=211.245.42.149, request_id=tof7yf9vgicyiooi, trace_id=hbpyepy4ztqs0eupts011st2, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:10:53 | ERROR | email | Unhandled exception type=IOError message=unexpected None (env=dev, region=ap-southeast-1, ip=151.96.244.114, request_id=fqf04a7y0vkomzvc, trace_id=85wnd2qku1dk2f7cud9vrsph, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:11:15 | ERROR | scheduler | Worker crashed: out of memory rss_mb=5771 (env=prod, region=us-east-1, ip=121.151.12.197, request_id=ga7ia7enqrbb9pmk, trace_id=fiwbufuzshgwvkldp51os165, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:11:16 | ERROR | db | Payment gateway returned 400 provider=stripe (env=prod, region=us-east-1, ip=31.109.138.184, request_id=gouzwyvxyvgsdxg1, trace_id=tas31wj8tycy7sro0brvv5w2, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:11:26 | ERROR | profile | Connection refused dependency=redis (env=prod, region=us-east-1, ip=183.80.72.199, request_id=kqin2jmxnpm78xqw, trace_id=ogf5zwh83ovrt52h20cuc7cu, ua="PostmanRuntime/7.36.0")
2026-02-01 00:11:36 | ERROR | cache | Connection refused dependency=email-smtp (env=staging, region=eu-west-1, ip=36.234.190.13, request_id=09qjj7p5jhdr01lh, trace_id=h9o9d81gnl1walhx31mhmcx3, ua="PostmanRuntime/7.36.0")
2026-02-01 00:11:41 | ERROR | frontend | Service dependency not responding dependency=cdn-edge (env=prod, region=me-south-1, ip=93.163.223.66, request_id=9pdfkue3hurfo2ls, trace_id=7ueif6dzvkn22kjdwdh68c8c, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:11:43 | ERROR | email | DB timeout while fetching user profile user_id=9354 (env=prod, region=eu-west-1, ip=2.114.22.55, request_id=sfoqw752nv2xkv3q, trace_id=gaczyte8pxco73mwx0krmqy2, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:11:50 | ERROR | payments | Payment gateway returned 401 provider=paypal (env=prod, region=ap-southeast-1, ip=82.119.56.85, request_id=89iefnwckdnj7akx, trace_id=vl3tkzkkiqogk2zsis4gf9op, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:12:12 | ERROR | kms | Worker crashed: out of memory rss_mb=2644 (env=prod, region=me-south-1, ip=102.178.250.11, request_id=z27p0mbth8hvu2zt, trace_id=unhd8x9e1mn1a8m3utbj77th, ua="curl/8.4.0")
2026-02-01 00:12:21 | ERROR | analytics | Unhandled exception type=MemoryError message=index out of range (env=prod, region=ap-southeast-1, ip=46.36.84.85, request_id=zr6vw2l8xp6yeaj2, trace_id=2tbuaitcohgb303k0wrohx3u, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:12:36 | ERROR | storage | Connection refused dependency=email-smtp (env=dev, region=us-east-1, ip=98.68.162.133, request_id=134kc7l2blf3h6gt, trace_id=gpzecpro4ikl1cdy6y0z27qd, ua="curl/8.4.0")
2026-02-01 00:13:18 | ERROR | cdn | Unhandled exception type=TimeoutError message=permission denied (env=prod, region=ap-southeast-1, ip=233.234.136.118, request_id=ysgwopkbgii79ejl, trace_id=qo6hsg5m00cb4vtpum40p8f3, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:13:19 | ERROR | cdn | Service dependency not responding dependency=cdn-edge (env=prod, region=us-east-1, ip=113.194.93.14, request_id=pusy3qw1r6i7eubo, trace_id=yc088xwamrqqqflz1lkndgs7, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:13:38 | ERROR | cdn | Authentication failed due to invalid token user_id=4206 (env=prod, region=me-south-1, ip=131.135.244.8, request_id=x9hs5rz2sgo1f2e9, trace_id=0xj0a3e3r7zkgfybus3cr42q, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:13:58 | ERROR | api | Service dependency not responding dependency=s3 (env=prod, region=me-south-1, ip=208.131.177.184, request_id=goxrdyq9qes9wiqa, trace_id=vy52p1vrxxstht11m52t5n91, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:14:15 | ERROR | notifications | Payment gateway returned 400 provider=paypal (env=prod, region=us-east-1, ip=31.195.165.104, request_id=r58e3gaurl621z69, trace_id=b21x9axiahmikz7zqx11xhn1, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:14:47 | ERROR | analytics | Connection refused dependency=redis (env=dev, region=me-south-1, ip=68.55.181.252, request_id=hk99fyivqgphho60, trace_id=wmec4k37g6oy53b7kn2iax4s, ua="PostmanRuntime/7.36.0")
2026-02-01 00:15:43 | ERROR | inventory | Write operation failed: storage quota exceeded bucket=prod-backups (env=prod, region=ap-southeast-1, ip=140.91.122.169, request_id=868rmg0ph1562mt8, trace_id=ai15eghxwnlls7tmyo5a0wzh, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:15:46 | ERROR | cache | Service dependency not responding dependency=stripe (env=prod, region=eu-west-1, ip=56.78.124.38, request_id=5w76mx2a26pyq8jo, trace_id=6aee391oal7bcq7ylmpho9hk, ua="curl/8.4.0")
2026-02-01 00:15:49 | ERROR | email | Authentication failed due to invalid token user_id=2036 (env=prod, region=us-east-1, ip=138.152.233.210, request_id=9lvzr6k5he0r985f, trace_id=sdns761ye7i5t07q4y75wd2j, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:16:05 | ERROR | billing | Payment gateway returned 504 provider=stripe (env=prod, region=me-south-1, ip=194.34.193.165, request_id=4l0i8x5jrotc5cqz, trace_id=hnm3pud33blpkxuwp6sqmb21, ua="curl/8.4.0")
2026-02-01 00:16:13 | ERROR | cache | Upstream service unavailable dependency=search-index (env=prod, region=eu-west-1, ip=196.70.17.109, request_id=ch7lixxlanmyot3r, trace_id=ikcogtmckcvolpst19u0f0bh, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:16:16 | ERROR | orders | Data validation error: missing required field field=sku (env=prod, region=us-east-1, ip=41.250.187.233, request_id=hudgoiguqeh7vqdx, trace_id=phj9wb9ijq3pk5wdx45uariv, ua="PostmanRuntime/7.36.0")
2026-02-01 00:16:19 | ERROR | billing | Connection refused dependency=kms (env=prod, region=eu-west-1, ip=177.18.10.59, request_id=3lsm8z68ilmidcny, trace_id=eji82q7h6y4l6by71gavtjgk, ua="curl/8.4.0")
2026-02-01 00:16:30 | ERROR | billing | Authentication failed due to invalid token user_id=7962 (env=prod, region=ap-southeast-1, ip=119.68.203.27, request_id=c2u7w25kcbfkz3na, trace_id=d6blza33afps52ul650hemr9, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:16:33 | ERROR | worker | Data validation error: missing required field field=token (env=prod, region=eu-west-1, ip=89.162.176.99, request_id=tcdgucd00bia6h5d, trace_id=txd0d3h5746ndghjjk7jvz3s, ua="PostmanRuntime/7.36.0")
2026-02-01 00:16:40 | ERROR | analytics | DB timeout while fetching user profile user_id=6942 (env=prod, region=us-east-1, ip=144.126.37.190, request_id=ydcgzy1vwm0niunx, trace_id=fat058qdrzwcuh4sslyndk8m, ua="curl/8.4.0")
2026-02-01 00:16:43 | ERROR | gateway | Authentication failed due to invalid token user_id=9267 (env=staging, region=me-south-1, ip=203.176.63.35, request_id=d5s1cchtq8kdzcz4, trace_id=dxgimbyi2jfl5zx5wi1tcqrt, ua="PostmanRuntime/7.36.0")
2026-02-01 00:17:01 | ERROR | profile | Unhandled exception type=PermissionError message=invalid format (env=prod, region=ap-southeast-1, ip=32.188.20.214, request_id=dprmaqj73w1j2t2r, trace_id=qene6pf6274xq5dae65bn7h4, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:17:47 | ERROR | inventory | DB timeout while fetching user profile user_id=8430 (env=dev, region=eu-west-1, ip=230.15.191.188, request_id=u8pvd0ypo099akmw, trace_id=v7mypi3neh3lbu0axfakgw94, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:18:04 | ERROR | inventory | Write operation failed: storage quota exceeded bucket=prod-backups (env=prod, region=me-south-1, ip=189.161.171.61, request_id=17i65twec1xjyvzo, trace_id=dar1mhsu596k2qn15n3onuvb, ua="curl/8.4.0")
2026-02-01 00:18:14 | ERROR | orders | Connection refused dependency=cdn-edge (env=dev, region=ap-southeast-1, ip=105.29.213.8, request_id=sdbrt4xtus2mcx5r, trace_id=usjcq3oghz583iulkat9b0bl, ua="PostmanRuntime/7.36.0")
2026-02-01 00:19:19 | ERROR | storage | Payment gateway returned 503 provider=paypal (env=prod, region=eu-west-1, ip=65.125.11.46, request_id=lybl53vo7o9pw28q, trace_id=dm4pujz0bxmo4c0c5bocl9rb, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:19:47 | ERROR | worker | Data validation error: missing required field field=user_id (env=prod, region=eu-west-1, ip=38.55.184.122, request_id=b0yohsg3hw7oqtea, trace_id=76idcbfe8yv7q5pt16qnlfqt, ua="curl/8.4.0")
2026-02-01 00:19:52 | ERROR | api | Worker crashed: out of memory rss_mb=4790 (env=staging, region=ap-southeast-1, ip=83.19.17.170, request_id=p4cttwsvf9trsx3e, trace_id=l1b0v774pccgnrh2z3vbtsnj, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:20:17 | ERROR | api | Upstream service unavailable dependency=search-index (env=prod, region=us-east-1, ip=45.130.172.12, request_id=ixgwfiefknly8zuo, trace_id=o9xcgnienex9j88gklwegwj7, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:20:40 | ERROR | analytics | Upstream service unavailable dependency=kms (env=prod, region=me-south-1, ip=113.109.242.235, request_id=8rsdvi436q6edwlr, trace_id=03xmdsrs1vcjc7kiub1lgryy, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:20:44 | ERROR | kms | Write operation failed: storage quota exceeded bucket=staging-uploads (env=dev, region=us-east-1, ip=233.247.49.61, request_id=d78umydzcgjprumd, trace_id=yvd8k16xouiwp5dxrhtudbpl, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:21:00 | ERROR | scheduler | Unhandled exception type=MemoryError message=invalid format (env=prod, region=us-east-1, ip=153.18.3.6, request_id=pparwk1wunls6a6j, trace_id=xqvec361ub5ooy3lcmrw1y1k, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:21:01 | ERROR | frontend | Unhandled exception type=TimeoutError message=null value (env=prod, region=me-south-1, ip=101.239.68.193, request_id=z26msjblr7h2kdd8, trace_id=ucquhktlxf4wid2ykqnwa4tw, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:21:27 | ERROR | billing | DB timeout while fetching user profile user_id=1695 (env=staging, region=ap-southeast-1, ip=193.25.45.227, request_id=fvcuofoqcvyb5irf, trace_id=2x9ktas853qclv4ppg58sxvd, ua="PostmanRuntime/7.36.0")
2026-02-01 00:21:31 | ERROR | inventory | Authentication failed due to invalid token user_id=5068 (env=prod, region=me-south-1, ip=3.217.227.10, request_id=fpxw0m2uevwo8068, trace_id=t975p5xst4g620pr0vtrugdp, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
